Category,Country or residual,Annual quota,Quarter 1 quota (tonnes),Quarter 2 quota (tonnes),Quarter 3 quota (tonnes),Quarter 4 quota (tonnes)
1,European Union,"375,000","93,750","93,750","93,750","93,750"
1,India,"33,456","8,364","8,364","8,364","8,364"
1,South Korea,"8,785","2,196","2,196","2,196","2,197"
1,Residual,"49,763","12,440","12,440","12,440","12,443"
4,European Union,"510,273","127,568","127,568","127,568","127,569"
4,India,"125,796","31,449","31,449","31,449","31,449"
4,South Korea,"100,753","25,188","25,188","25,188","25,189"
4,Vietnam,"174,367","43,591","43,591","43,591","43,594"
4,Residual,"100,116","25,029","25,029","25,029","25,029"
5,European Union,"49,836","12,459","12,459","12,459","12,459"
5,South Korea,"19,694","4,923","4,923","4,923","4,925"
5,Residual,"5,993","1,498","1,498","1,498","1,499"
6,European Union,"39,795","9,948","9,948","9,948","9,951"
6,Japan,315,78,78,78,81
6,South Korea,"2,534",633,633,633,635
6,Residual,"27,151","6,787","6,787","6,787","6,790"
7,European Union,"200,868","50,217","50,217","50,217","50,217"
7,South Korea,33795,8448,8448,8448,8451
7,United States of America,766,191,191,191,193
7,Residual,"14,415","3,603","3,603","3,603","3,606"
12A,European Union,"83,558","20,889","20,889","20,889","20,891"
12A,Residual,"22,342","5,585","5,585","5,585","5,587"
12B,European Union,"47,618","11,904","11,904","11,904","11,906"
12B,Turkey,"18,654","4,663","4,663","4,663","4,665"
12B,Residual,"4,540","1,135","1,135","1,135","1,135"
13,European Union,"149,024","37,256","37,256","37,256","37,256"
13,Turkey,"50,582","12,645","12,645","12,645","12,647"
13,Residual,"68,374","17,093","17,093","17,093","17,095"
14,European Union,"16,543","4,135","4,135","4,135","4,138"
14,United States of America,"1,782",445,445,445,447
14,Residual,"2,360",590,590,590,590
15,European Union,955,238,238,238,241
15,South Korea,135,33,33,33,36
15,Residual,237,59,59,59,60
16,European Union,"168,471","42,117","42,117","42,117","42,120"
16,Residual,"10,504","2,626","2,626","2,626","2,626"
17,European Union,"253,678","63,419","63,419","63,419","63,421"
17,South Korea,"3,002",750,750,750,752
17,United States of America,852,213,213,213,213
17,Residual,"13,230","3,307","3,307","3,307","3,309"
19,European Union,"7,436","1,859","1,859","1,859","1,859"
19,Residual,46,11,11,11,13
20,European Union,"17,896","4,474","4,474","4,474","4,474"
20,India,"8,777","2,194","2,194","2,194","2,195"
20,Turkey,"29,917","7,479","7,479","7,479","7,480"
20,Residual,"5,008","1,252","1,252","1,252","1,252"
21,European Union,"35,236","8,809","8,809","8,809","8,809"
21,Turkey,"99,399","24,849","24,849","24,849","24,852"
21,Residual,"11,498","2,874","2,874","2,874","2,876"
25A,European Union,"7,067","1,766","1,766","1,766","1,769"
25A,Japan,413,103,103,103,104
25A,South Korea,659,164,164,164,167
25A,United States of America,495,123,123,123,126
25A,Residual,"1,538",384,384,384,386
25B,European Union,"25,219","6,304","6,304","6,304","6,307"
25B,Japan,267,66,66,66,69
25B,South Korea,"3,493",873,873,873,874
25B,Turkey,"5,110","1,277","1,277","1,277","1,279"
25B,Residual,"3,202",800,800,800,802
26,European Union,"30,026","7,506","7,506","7,506","7,508"
26,Switzerland,"1,092",273,273,273,273
26,Turkey,"14,517","3,629","3,629","3,629","3,630"
26,United Arab Emirates,"10,944","2,736","2,736","2,736","2,736"
26,United States of America,"3,649",912,912,912,913
26,Residual,"16,327","4,081","4,081","4,081","4,084"
27,European Union,"19,808","4,952","4,952","4,952","4,952"
27,Turkey,"5,371","1,342","1,342","1,342","1,345"
27,Residual,"4,351","1,087","1,087","1,087","1,090"
28,European Union,"43,157","10,789","10,789","10,789","10,790"
28,Japan,378,94,94,94,96
28,United States of America,"6,076","1,519","1,519","1,519","1,519"
28,Residual,"10,123","2,530","2,530","2,530","2,533"
